Afore	Trước
snoot	MU ~ i
snore	ngủ ngáy
snork	ống thở
snort	khịt mũi
snots	ngáy
snout	mõm
snowy	có tuyết rơi
snowk	tuyết rơi
snowl	tuyết
snows	tuyết
snubs	khờ khạo
snuck	lẻn
snuff	hít đất
snurp	hít hà
snurt	hắt hủi
soaky	ướt đẫm
soaks	ngâm nước
soapi	xà phòng
soapy	xà phòng
soaps	xà phòng
soary	ốm yếu
soars	bay lên
sobby	ốm yếu
sober	tỉnh táo
socii	xã hội
socky	ướt sũng
socks	vớ
sodas	nước sô-đa
Soddy	Buồn cười
sodic	buồn tẻ
sofar	cho đến nay
sofas	ghế sofa
Sofer	Mềm hơn
softy	mềm mại
soget	cho nên
soggy	sũng nước
soyas	đậu nành
soign	cai trị
soily	buồn bã
soils	đất
Soyot	Đậu nành
sokes	nức nở
solar	hệ mặt trời
soldi	selli
soldo	sello
soled	có đế
soles	đế
solid	cứng
solos	độc tấu
solve	giải quyết
somet	một số
Somis	Người Somis
songy	song
songs	bài hát
sonly	con trai
sonsy	con trai
sooky	có mùi thơm
sooth	êm dịu
sooty	có mùi hôi
soots	sooc
sophy	ngụy biện
sopor	ngụy biện
soppy	vui vẻ
Sorce	Phù thủy
sorer	tốt hơn
sores	vết loét
sorry	lấy làm tiếc
sorty	sắp xếp
sorts	sắp xếp
sough	chua
souks	Souks
Soule	Linh hồn
souly	linh hồn
souls	linh hồn
SOUND	ÂM THANH
soupy	nước lèo
soups	súp
sourd	chua
soury	chua
sours	mãng cầu xiêm
souse	ngâm trong
South	miền Nam
sowed	gieo
sowel	heo nái
Sower	Người gieo
sowle	heo nái
sowse	gieo hạt
sowte	nái
space	khoảng trống
spack	đánh tráo
spade	thuổng
spaed	thưa thớt
spaer	thợ spa
spail	nhổ nước bọt
Spain	Tây Ban Nha
spake	đánh thức
spall	cơn bão
spank	đánh đòn
spans	nhịp
spare	bổ sung
Spark	Tia lửa
sparm	vũ khí
spasm	co thắt
spave	tha hồ
spawl	sinh sản
spawn	đẻ trứng
speak	nói
speal	đặc biệt
spean	Spean
Spear	Thương
spece	giọng nói
speck	lấm tấm
specs	thông số kỹ thuật
spect	bóng ma
speed	tốc độ
speel	giọng nói
speen	giọng nói
speil	lời nói
speir	giọng nói
spekt	giọng nói
spell	Đánh vần
spelt	đánh vần
spend	dành
spent	dành ra
speos	giọng nói
sperm	tinh trùng
spewy	có lông
spews	phun ra
spice	gia vị
spicy	vị cay
spick	khạc nhổ
spied	do thám
spiel	gai
spies	gián điệp
spiff	gai nhọn
Spike	Mũi nhọn
spiky	có gai
spiks	gai
spill	tràn
spilt	làm đổ
spina	xương sống
spine	xương sống
spiny	có gai
spink	xoay vòng
spins	vòng quay
spire	ngọn lửa
spirt	phun ra
spise	cây spise
spite	cay cú
spits	khạc nhổ
splad	bà chủ
splat	tiếng bắn tung tóe
Split	Tách ra
spoil	chiều hư
spoke	đã nói
spoky	có nhiều bọt
spong	bọt biển
spoof	giả mạo
spook	ma quái
spool	ống chỉ
spoon	cái thìa
Spoor	Trong nhà
spoot	chiến lợi phẩm
spore	bào tử
sport	thể thao
sposh	tiếng lách cách
spots	điểm
spout	vòi
sprad	loang ra
sprag	bong ra
spray	Xịt nước
spret	viết lách
sprew	vặn vít
sprig	thanh niên
sprug	cành cây
spued	dán vào
spumy	bẩn thỉu
spung	quay
spunk	lòng lang dạ thú
spurn	cự tuyệt
spurs	cựa
spurt	phun ra
spute	cây spute
squab	cãi nhau
squad	đội hình
squam	tiếng kêu thảm thiết
squat	ngồi xổm
squeg	kêu ré lên
squet	tiếng kêu
SQUID	MỰC ỐNG
squin	ngồi xổm
squit	ngồi xổm
ssort	sắp xếp
stabs	vết đâm
stack	cây rơm
staff	Nhân Viên
STAGE	SÂN KHẤU
stagy	loang lổ
stags	quân cờ
staid	nghiêm trang
stail	đóng cọc
stain	vết bẩn
stair	cầu thang
stays	ở lại
stake	cổ phần
stale	cũ
Stalk	Rình rập
stall	ngăn cản
stamp	con tem
stand	đứng
stank	bốc mùi hôi thối
stare	nhìn chằm chằm
Stark	Ngay đơ
STARS	NGÔI SAO
start	bắt đầu
starw	sao
stash	cất
State	Tình trạng
stats	số liệu thống kê
stave	cọc
stawn	khoanh vùng
Stead	Ổn định
steak	lát thịt
steal	ăn cắp
steam	hơi nước
steed	chiến mã
Steel	Thép
Steep	Dốc
steer	chỉ đạo
stela	tấm bia
stele	tấm bia
stema	thân cây
stems	thân cây
steps	các bước
stept	con ghẻ
stere	ster
steri	khử trùng
Stern	Nghiêm nghị
stewy	hầm hố
stews	món hầm
stick	dán
styed	tạo kiểu
Stier	Cứng hơn
styes	lẹo
stife	hôi thối
stiff	cứng
stile	cứng nhắc
style	Phong cách
styli	nhà tạo mẫu
Still	Còn
stilt	cà kheo
stimy	hôi thối
stymy	lấm lem
Stine	đá
sting	châm chích
stink	mùi hôi
stint	còn sống
stirk	khuấy động
stivy	hôi thối
stoae	stae
stoai	stai
stoas	khom lưng
stobs	khom lưng
Stock	Cổ phần
stoep	khom lưng
stoff	khom lưng
stogy	ngổn ngang
Stoic	Kiên nhẫn
stoit	khom lưng
stold	xếp lại
stole	ăn trộm
stoma	lỗ khí
stomy	cơ nhị đầu
stomp	dậm chân
Stone	Cục đá
stony	đá
stood	đứng
stoof	khom lưng
stook	nhìn chằm chằm
stool	ghế đẩu
stoop	lưng tôm
stoot	khom lưng
stops	dừng lại
stopt	dừng lại
store	cửa hàng
Story	Câu chuyện
stork	con cò
Storm	Bão
Stout	bia đen
stove	bếp
stows	xếp hàng
strae	đi lạc
strag	đi lạc
stray	đi lạc
stram	đi lạc
strap	dây đeo
straw	Rơm rạ
strew	vằn vện
stria	vân
strid	khô khan
strig	sự cố gắng
strip	dải
stroy	lạc lõng
strow	cọc
strub	cây bụi
strue	sợi dây
strum	gảy đàn
strut	đi khệnh khạng
stubb	mập mạp
stubs	sơ khai
stuck	mắc kẹt
stude	đinh tán
study	nghiên cứu
studs	đinh tán
stuff	vật dụng nhỏ
stump	gốc cây
stung	châm chích
stunk	rác rưởi
stuns	làm choáng váng
stunt	đóng thế
stupa	bảo tháp
sturk	cứng cáp
suant	người kiện cáo
subet	tập con
subst	phụ
sucks	hút
suede	da lộn
suety	ăn ngon
Sugar	Đường
sugat	có đường
suing	kiện
suint	cây bạc hà
suite	Thượng hạng
suits	bộ quần áo
sulky	hờn dỗi
sulks	hờn dỗi
sumph	bể phốt
sumps	bể phốt
sumpt	xa hoa
Sunny	Nhiều nắng
sunns	mặt trời
super	siêu
sural	đạo đức
sured	bị kiện
surer	người chắc chắn
sures	kiện cáo
surfy	dâng lên
surfs	lướt sóng
surge	dâng trào
surgy	nổi sóng
surly	đột ngột
sussy	lém lỉnh
sutor	gia sư
sutra	kinh
sutta	bài kinh
swabs	tăm bông
swack	đánh tráo
swail	chửi thề
sways	lắc lư
swamp	đầm lầy
swank	phô trương
swans	thiên nga
Swaps	Hoán đổi
sward	thề thốt
sware	chửi thề
swarm	họp lại
swash	cuốn vào
swath	lời thề
sweal	mồ hôi
swear	thề
sweat	mồ hôi
Swede	Người Thụy Điển
sweep	quét
sweer	ngọt ngào
Sweet	Kẹo
swego	cục cưng
swell	sưng lên
swelp	nói chuyện phiếm
swelt	căng phồng
swept	quét
SWIFT	NHANH
swile	ruồng rẫy
swimy	bơi lội
swims	bơi lội
swine	heo
swing	lung lay
swipe	vuốt
swipy	vuốt ve
swird	kỳ quặc
swire	chửi thề
swirl	xoáy
Swiss	Thụy Sĩ
swobs	bộ ngực
swoop	sà vào
sword	thanh kiếm
swore	thề
sworn	tuyên thệ
swosh	xoáy
swots	thiên nga
swung	vung vẩy
swure	thề thốt
tabes	tab
tabid	lá cải
table	chiếc bàn
tabog	giả mạo
taboo	điều cấm kỵ
tabus	lá cải
tacet	vòi
tacit	Ngấm ngầm
tacky	dính chặt
tacks	đinh ghim
tacos	bánh tét
tacts	hành vi
taels	lượng
taggy	nói tục
tails	đuôi
tains	lợi nhuận
taint	vết bẩn
taise	thuần hóa
taish	ăn thịt
taked	đánh dấu
taken	Lấy
taker	người thu tiền
takes	nhận
taled	được đánh dấu
taler	người đánh dấu
tales	những câu chuyện
talky	nói nhiều
talks	cuộc nói chuyện
Tally	Kiếm điểm
talus	móng tay
tamed	thuần hóa
tangy	rối rắm
tangs	tang
tanks	xe tăng
Tansy	Cây cúc ngải
tanzy	da ngăm
taped	ghi hình
taper	côn
Tapes	Băng
tapir	heo vòi
tardy	đi trễ
tared	cắt tỉa
tarns	nhựa đường
tarok	khoai môn
taros	khoai môn
tarot	bói bài
tarps	vải dầu
tarry	nhựa đường
tarse	thuộc da
tarty	tiệc tùng
tarts	bánh kem trái cây
tasks	nhiệm vụ
tasse	nếm thử
taste	nếm
tasty	ngon
Tatar	Người Tatar
tater	khoai tây
tatty	rách nát
taunt	chế nhạo
taupe	băng
tauts	căng thẳng
taver	người khai thác
tawed	cắt tỉa
tawer	người cắt cỏ
tawny	có màu nâu
tawsy	có lông
taxed	bị đánh thuế
taxer	người đánh thuế
taxes	thuế
taxir	người đánh thuế
taxis	taxi
taxon	đơn vị phân loại
taxor	người đánh thuế
tazze	uống rượu
Teach	Dạy
teaey	nước trà
teaer	người pha trà
Teays	Trò đùa
teaks	gỗ tếch
teals	màu xanh mòng két
teams	đội
teary	đẫm nước mắt
tears	những giọt nước mắt
tease	trêu chọc
teasy	khó chịu
teaty	chảy nước miếng
teats	núm vú
teave	xé nát
teaze	nước trà
techy	kỹ thuật
tecum	manh tràng
Teece	Thiếu niên
teems	rất nhiều
Teena	Thiếu niên
teeny	nhỏ xíu
teens	thiếu niên
teest	sự nhõng nhẽo
teeth	hàm răng
teety	ngoan cường
teise	trêu chọc
teleg	điện báo
telly	Truyền Hình
tells	kể
tellt	Nói với t
Tempe	Ôn đới
temps	tạm thời
tempt	cám dỗ
tendo	có xu hướng
tends	xu hướng
tenet	nguyên lý
tenon	mộng
tenor	giọng nam cao
tense	bẩn quá
tenth	thứ mười
tents	lều trại
tepid	ấm
terce	mối quan hệ
terms	điều kiện
terns	Nhạn biển
terse	ngắn gọn
testy	cứng rắn
tests	bài kiểm tra
tetel	cây uốn ván
teths	sâu bướm
tewel	viên ngọc
texts	văn bản
Thach	Thạch
Thais	Người thái
thank	cảm tạ
thatd	cái đó
thats	đó là
thawy	tan băng
thawn	tan băng
thaws	tan băng
theek	hiền lành
theft	trộm cắp
theyd	chúng
their	của chúng
theme	chủ đề
there	ở đó
therm	nhiệt độ
these	này
thete	sở trường
thews	dây gân
thick	đặc
thigh	đùi
thilk	con bọ phấn
thyme	xạ hương
thymy	cỏ xạ hương
thyms	cỏ xạ hương
thine	của bạn
thing	Điều
think	nghĩ
thins	mỏng
third	ngày thứ ba
thirt	cái thúi
thisn	cái này
Thorn	gai
those	những, cái đó
thrap	thúi
THREE	BA
threw	ném
thrip	bọ trĩ
throb	nhói lên
throe	đau nhói
throw	ném
thrum	đánh trống lảng
thuds	tiếng thịch
thugs	côn đồ
thumb	ngón tay cái
thump	tiếng đập mạnh
thund	sấm sét
thung	chong chóng
thunk	đánh mạnh
thurm	tiếng ồn ào
Thurs	Thứ năm
thurt	thút thít
tiara	vương miện
tibby	tiều tụy
tibey	ngăn nắp
Tibet	Tây tạng
tibia	xương chày
ticer	người pha tạp chất
Tyche	Vải lanh
ticky	nhột nhạt
ticks	tích tắc
tidal	thủy triều
tiddy	ngăn nắp
tided	tô màu
tides	thủy triều
tyees	ty cà phê
tiers	bậc
tiffs	tiff
tiger	con hổ
tight	chặt
tigon	Hổ sư
tying	buộc
tikis	tiki
tilak	Tilak
tilde	dấu ngã
tiled	lát gạch
tiles	gạch
Tilli	Cho đến khi tôi
tills	dấu tích
tilth	cho đến nay
tilty	người nghiêng
tilts	nghiêng
timar	thời gian
timed	hẹn giờ
timer	hẹn giờ
times	lần
timet	thời gian
timid	nhút nhát
Timms	Thời gian
Timne	Thời gian
tinea	nấm da đầu
tined	tráng men
tyned	buộc lại
tines	kim cương
tinge	nhuốm màu
tinny	nhỏ xíu
tinsy	giấy bạc
tints	sắc thái
typal	đánh máy
typed	đã đánh máy
typey	kiểu chữ
typer	người đánh máy
types	các loại
typic	điển hình
tipis	tiền boa
tipit	tiền boa
typos	lỗi chính tả
tippy	rôm rả
tipsy	say
tipup	tiền boa
tired	mệt mỏi
tyred	buộc chặt
tirer	người xếp hạng
tires	lốp xe
tyres	lốp xe
TIRKS	LỐP
tyste	bạo lực
tithe	phần mười
title	chức vụ
Titus	Tít
tiver	thợ làm cỏ
Tizes	Kích cỡ
tizzy	râm ran
toady	ngu ngốc
toads	con cóc
toast	nướng
Tobye	Tạm biệt
today	hôm nay
tofts	xe nâng
toged	rèn giũa
togue	lừa dối
toher	đến cô ấy
toyed	đùa giỡn
toils	làm việc
toyon	đồ chơi
toyos	đồ chơi
toise	tôi sẽ
toist	xé toạc
token	mã thông báo
toldo	đã nói
tolls	phí cầu đường
toman	người lái xe
tombs	lăng mộ
tonal	âm sắc
toned	săn chắc
toner	mực toner
tones	âm
tongs	kẹp
tonic	thuốc bổ
Tonie	Tư chôi
tonne	tấn
tools	công cụ
Toone	Đến một
tooth	răng
toots	dấu chấm
toped	phủ lên trên
topee	đi tiểu
topic	đề tài
topsl	ngọn
torch	đèn pin
tored	săn chắc
Torry	Xe tải
torso	thân mình
torta	rùa bò
torts	áo sơ mi
Torun	Chạy
torus	hình xuyến
toshy	xấu hổ
tossy	quăng quật
total	toàn bộ
totem	vật tổ
totty	toàn bộ
totum	tổng cộng
touch	chạm
tough	khó
tould	phải
Tound	Thắt chặt
Tours	Chuyến tham quan
touse	sử dụng
toust	hành hạ
touts	chào hàng
tovet	ham muốn
towed	kéo
towel	khăn tắm
Tower	Tòa tháp
towns	thị trấn
towsy	dai dẳng
toxic	chất độc
toxin	độc tố
toxon	độc tố
Trace	Dấu vết
track	theo dõi
trade	buôn bán
trady	khéo léo
trail	đường mòn
train	xe lửa
trays	khay
trait	đặc điểm
trama	đau mắt
tramp	kẻ lang thang
trams	xe điện
trank	đường mòn
trans	Dịch
traps	bẫy
trapt	đi bộ
trash	rác
trasy	rác rưởi
trave	đi qua
trawl	lưới kéo
tread	bước đi
treas	kho bạc
TREAT	ĐÃI
treey	nhiều cây
treen	màu xanh lá cây
trees	cây
treks	đi bộ
trend	xu hướng
trets	chuyến đi
Triad	Bộ ba
trial	sự thử nghiệm
tribe	bộ lạc
trick	bí quyết, Thuật, mẹo
Tryck	Thử
tried	cố gắng
tries	cố gắng
trigs	vấp ngã
trike	xe ba gác
trims	đồ trang trí
trink	đồ lặt vặt
Tryon	Thử quần áo
trios	bộ ba
tripe	lòng
tripy	gấp ba lần
trips	những chuyến đi
tryst	người thử
trite	sáo mòn
trock	lừa gạt
TROFF	GIAO LƯU
troft	bước đi
troll	chơi khăm
tronk	trò đùa
troop	đoàn quân
tropy	nhiệt đới
trots	trót lọt
troue	hát rong
Troup	Nhóm
Trout	Cá hồi
trouv	hát rong
trows	ném
truce	đình chiến
truck	xe tải
truer	trốn học
truly	thực sự
trull	thân tàu
trump	kèn
trunk	Thân cây
truss	giàn
Trust	Tin tưởng
Truth	Sự thật
tsars	sa hoàng
tuant	dây quấn
tuarn	sợi
tubal	ống dẫn trứng
tubby	quần áo
tuber	củ
tubes	ống
tubig	bồn tắm
tucks	quần lót
tugui	kéo co
tules	bánh tules
tulip	hoa tulip
Tulle	Vải tuyn
Tumer	Khối u
tumid	sưng lên
tummy	nằm sấp
tumor	khối u
tumps	đống
Tunas	Cá ngừ
tuned	điều chỉnh
tuner	bộ chỉnh
tunes	giai điệu
tunic	áo dài
Turbo	bộ tăng áp
turfy	làm biến đổi
turgy	hỗn loạn
turks	thổ nhĩ kỳ
Turne	Quay đầu
turns	lần lượt
turps	củ cải
turvy	lộn xộn
tushy	dày cộp
tusky	dày cộp
tusks	ngà voi
Tussy	Âm hộ
tutor	gia sư
Twain	Hai
twank	xoắn
twant	vặn vẹo
twats	đôi
tweak	chỉnh sửa
tween	tuổi mười bảy
tweet	tiếng riu ríu
twerp	kẻ phiên phưc
twice	hai lần
twick	vặn vẹo
twigs	cành cây
twill	đan chéo
twilt	sự bẻ cong
twine	quanh co
twiny	sinh đôi
twink	lấp lánh
Twins	Sinh đôi
twire	xoắn
twirk	nhếch mép
twirl	xoay vòng
twirp	xoay vòng
twist	xoắn
twits	khúc chiết
twoes	hai cái
tzars	răng cưa
Udele	Đàn udele
ulcer	vết loét
ulent	loét
ulmic	loét
ultra	cực kỳ
umble	nhanh nhẹn
Umbra	Vong linh
umbre	những chiếc ô
umped	không bị cản trở
umpty	khiêm tốn
unact	cởi mở
unadd	undd
unapt	không thích
unare	không có tuổi
unary	một ngôi
unarm	bỏ vũ khí
unaus	unus
unbag	mở túi
unbar	bỏ thanh
unbed	không có giường
unbid	không trả giá
unbit	bỏ ghim
unbog	tháo gỡ
unbow	mở ra
unbox	mở hộp
unbud	tháo ra
uncap	mở nắp
UNCLE	CHÚ
uncoy	thô kệch
uncos	unos
uncow	cởi bỏ
uncus	bác bỏ
uncut	chưa cắt
under	Dưới
undid	mở nắp
undye	không nhuộm
undig	cởi quần áo
undog	gỡ xuống
undon	gỡ xuống
undub	gỡ bỏ
undue	Thái quá
undug	cởi quần áo
unfar	mở ra
unfed	mở ra
unfit	không thích hợp
unfix	tháo gỡ
unfur	mở ra
ungag	vô hiệu
unget	ung dung
ungod	ung dung
ungot	không có
unhad	không vui
unhap	không vui
unhat	mở ra
unhex	không có gì
unhip	bỏ tàu
unhit	làm hư
unhot	mở ra
unice	đoàn kết
unify	thống nhất
Union	liên hiệp
unism	thống nhất
unite	đoàn kết
Unity	Đoàn kết
units	các đơn vị
unjam	cởi truồng
unked	không ngoan
unkey	mở khóa
unken	vô tình
unket	không ngoan
unkid	không ngoan
unkin	xấu xa
unlay	mở ra
unlap	bung ra
unlaw	trái luật
unlax	làm sạch
unlet	tháo ra
unlid	mở ra
unlie	tháo gỡ
unlit	không có đèn
unmad	cởi trần
unmet	chưa được đáp ứng
unmew	mở ra
unmix	không trộn lẫn
unnet	bỏ mạng
unnew	chưa biết
unode	mở ra
unoil	mở ra
unown	không xác định
unpay	bỏ trả
unpen	mở ra
unpin	bỏ ghim
unpot	tháo ra
unput	tháo ra
unrid	làm khô
unrig	tháo ra
unrip	tháo ra
unrow	bung ra
unrun	tháo chạy
unsad	cởi ra
unsay	không trả lời
unsee	không nhìn thấy
unset	không đặt
unsew	tháo ra
unshy	không có tiếng
unsin	bỏ ghim
unsly	không đáng tin cậy
unson	bỏ đi
unsty	không đủ
unsun	bỏ chạy
untap	mở ra
untar	cởi ra
untax	tẩy lông
untie	cởi trói
until	cho đến khi
untin	cởi trói
untop	mở ra
unurn	mở ra
unuse	không sử dụng
unwas	không có
unwax	không có sáp
unweb	bỏ mạng
unwed	không muốn
unwet	mở ra
unwig	không cẩn thận
unwit	không cho phép
unwon	không có
unwry	chưa khô
unzip	giải nén
uparm	trang bị
upbid	cao hơn
upbye	tạm biệt
upbow	nâng lên
upbuy	mua sắm
upcry	phấn khởi
upcut	cắt xén
updry	cập nhật
upend	bỏ ra
upfly	đom đóm
upget	Lên nhận được
upher	người nâng lên
uplay	lớp phủ
upleg	sự cố gắng
uplit	sáng sủa
upped	nâng lên
upper	phía trên
uprid	khó khăn
uprip	đi lên
uprun	chạy lên
upset	khó chịu
upsit	nâng lên
upsun	upun
upsup	up up
upway	đi lên
upwax	sáp ong
Urban	Đô thị
urbia	chứng sợ hãi
urbic	ham ăn
Urdar	Tiếng Urdar
urdee	sự thúc giục
Urdur	Tiếng Urdur
ureas	urê
ureic	urê
ureid	urê
urged	thúc giục
urger	người thúc giục
urges	thúc giục
Urias	Nước tiểu
Urien	Nước tiểu
Uriia	Nước tiểu
urine	nước tiểu
urman	người đàn ông ur
Urmia	Chứng đái máu
urous	xấu xí
usage	sử dụng
usant	sử dụng
usent	sử dụng
users	người dùng
using	sử dụng
usual	thường
usure	sử dụng
usury	cho vay nặng lãi
usurp	chiếm đoạt
utchy	vô cùng
utees	tử cung
utend	làm theo ý mình
uteri	tử cung
utero	tử cung
utile	vô ích
uvate	nâng cấp
uveal	bầu trời
Uzbeg	Tiếng Uzbeg
Uzbek	Tiếng Uzbek
vacuo	chân không
vague	mơ hồ
vagus	phế vị
vails	thùng rượu
valet	người hầu
valew	lễ tình nhân
valid	có hiệu lực
valor	dũng cảm
value	giá trị
valve	van
vanes	cánh gạt
vapid	bốc hơi
vapor	hơi nước
varan	kỳ đà
varas	kỳ đà
vases	lọ hoa
vasty	bao la
vasts	vast
vault	kho tiền
veals	khăn che mặt
Vedas	Kinh Vedas
Vedic	Vệ Đà
veeps	tiếng veeps
vegan	thuần chay
veils	mạng che mặt
veiny	có vân
veins	tĩnh mạch
velal	vật ngựa
venal	dể hối lộ
vends	tự động
venge	báo thù
venom	nọc độc
vents	lỗ thông hơi
venue	hội họp
Venus	sao Kim
verbs	động từ
verry	tươi vui
versa	ngược lại
verse	thơ
verso	trang sau
verty	xanh tươi
verus	chóng mặt
Vesty	Uy nghiêm
vests	áo gi lê
vetch	cây đậu tằm
vetus	phủ quyết
vexed	bực bội
vexer	làm phật lòng
vexes	phật ý
vexil	làm phật lòng
vials	Lọ
viand	dây leo
vibes	đàn tăng dung
vicar	cha sở
viced	nạn nhân
vices	tệ nạn
video	băng hình
viewy	quang cảnh
views	lượt xem
vigil	cảnh giác
Vigor	Sức sống
vying	tranh giành
Villa	Biệt thự
villi	nhung mao
vills	nhân vật phản diện
vinea	cây nho
vined	giành giật
vinew	cây nho
vinyl	nhựa vinyl
viols	vi phạm
viral	Lan tỏa
vires	quyền lực
Virgo	Xử Nữ
virtu	điêu luyện
virus	vi-rút
visas	thị thực
vised	nhìn thấy
vises	tầm nhìn
visit	chuyến thăm
visor	tấm che mặt
vitae	sơ yếu lý lịch
vital	thiết yếu
vitro	ống nghiệm
vivid	sống động
vocal	giọng hát
voces	ơn gọi
vodka	rượu vodka
vodum	rượu vodum
vogue	thịnh hành
voice	giọng nói
voids	khoảng trống
voila	thì đấy
voles	chuột đồng
volow	vồ vập
volts	vôn
vomer	lá mía
vomit	nôn mửa
voted	bình chọn
voter	cử tri
votes	phiếu bầu
vouch	xác nhận
vouge	xác nhận
Vouli	Phiếu quà tặng
voust	tiếng vo ve
vowed	thề
Vowel	Nguyên âm
vulva	âm môn
wacky	kỳ quặc
waded	lội nước
wades	lội nước
wadge	cái giẻ lau
waffs	waff
waged	tiến hành
Wager	Cuộc đánh cá
wages	tiền công
waggy	uốn éo
Wagon	Toa xe
waifs	miễn trừ
waily	miễn cưỡng
wails	than vãn
waird	Waird
wairs	từ bỏ
waise	dao động
waist	thắt lưng
waits	chờ đợi
waive	từ bỏ
waked	đã thức dậy
waken	kêu
wakes	thức dậy
waled	đi bộ
Wales	Xứ Wales
walks	đi dạo
Walls	Tường
walth	sự giàu có
wames	lửa
wands	cây đũa phép
waned	lu mờ
wanes	tàn lụi
wanky	yếu ớt
wanna	muốn
wanty	ham muốn
wants	muốn
warch	sợi dây
wards	phường
wared	chiến đấu
warer	kho hàng
wares	đồ gốm sứ
warly	mơ hồ
Warms	Làm ấm
warns	cảnh báo
warnt	cảnh báo
warps	cong vênh
warse	tàn lụi
warty	tàn nhẫn
warts	mụn cóc
warve	chiến tranh
Wasat	Đã ở
washy	bẩn thỉu
wasnt	đã không
waspy	cây thuốc phiện
Wasps	Ong bắp cày
waste	rác thải
wasty	gầy
wasts	rác thải
watap	wap
watch	đồng hồ đeo tay
water	nước
Waugh	Khà khà
waved	vẫy tay
waver	lung lay
WAVES	SÓNG
waxed	sáp
waxer	thợ tẩy lông
waxes	sáp
weaky	yếu đuối
Weaks	Weak
weals	ăn mòn
weans	người cai sữa
Weare	Chúng tôi là
weary	mệt mỏi
wears	mặc
weave	dệt
wedge	cái nêm
wedgy	đám cưới
weedy	cỏ dại
weeds	cỏ dại
Weeks	Tuần
weens	mọt
weent	cỏ dại
weepy	khóc
weeps	khóc
weesh	cỏ dại
weest	mệt mỏi
weety	mệt mỏi
weeze	làm điên cuồng
wefty	giàu có
wefts	sợi ngang
weigh	cân
weird	kỳ dị
weirs	đập nước
weism	chủ nghĩa xã hội
welds	mối hàn
welly	lành lặn
Welsh	người xứ Wales
welts	mối hàn
wends	cỏ dại
weren	wasn
westy	tây
wests	áo choàng
wetly	ướt át
wevet	thèm thuồng
whack	cái gì
Whale	Cá voi
whaly	kỳ quặc
Whall	Cá voi
whalp	cá voi
whame	cái gì vậy
whamp	cá voi
whams	những gì
whand	thuận tay
whank	cái gì
whaps	có lẽ
whare	cái gì vậy
wharf	cầu cảng
wharp	cái gì
whart	cái gì
whase	cái gì vậy
whata	cái gì vậy
whatd	cái gì
whats	cái gì vậy
whaup	chuyện gì vậy
whaur	cá voi
wheal	váng sữa
wheam	váng sữa
wheat	lúa mì
wheel	bánh xe
wheep	khò khè
wheft	đường cong
wheys	váng sữa
whelk	váng sữa
whelp	đánh lừa
where	ở đâu
whewl	tiếng vo ve
whews	bánh xe
whewt	khò khè
which	cái mà
whids	roi
whiff	huýt sáo
whift	roi vọt
whigs	roi vọt
while	trong khi
whilk	đánh trống lảng
whill	đánh trống lảng
whils	đánh trống lảng
whims	ý tưởng bất chợt
whine	rên rỉ
whiny	nhõng nhẽo
whins	tiếng rên rỉ
whips	roi da
whipt	quất
whirl	quay cuồng
whirr	tiếng vù vù
whirs	đánh trắng
whish	quất
whisk	đánh trứng
whisp	thì thầm
whiss	tiếng rít
whist	huýt sáo
White	trắng
whity	nhõng nhẽo
whits	ý kiến
whizz	vù vù
whoas	ai nhu
whole	trọn
wholl	ai sẽ
whomp	con điếm
whone	con điếm
whoof	cái gì
whoop	vù vù
whoot	con điếm
whops	con điếm
whore	con điếm
whory	con điếm
whorl	tiếng vù vù
whort	con điếm
whose	của ai
whoso	cũng vậy
whsle	bán buôn
wicky	lém lỉnh
widdy	góa bụa
widen	mở rộng
wider	rộng hơn
wides	rộng rãi
widow	Góa phụ
width	chiều rộng
wield	vận dụng
wiggy	tóc giả
wilds	hoang dã
wiled	héo hon
wyled	đi lộn xộn
Willy	Sẽ y
Wills	Di chúc
Wilts	Héo
wimps	khăn lau
wince	nhăn
winch	tay quay
Windy	Co gio
winds	gió
wined	héo hon
wines	rượu vang
wingy	có cánh
wings	cánh
winks	nháy mắt
winly	thắng lợi
winze	ngủ gật
wiped	lau
wiper	khăn lau
wipes	khăn lau
wired	có dây
wires	Dây điện
wised	lau
wisen	khôn ngoan
wiser	khôn ngoan hơn
wises	khôn ngoan
wisha	khôn ngoan
wishy	khôn ngoan
wisht	điều ước
wispy	nhăn nhó
witch	phù thủy
wited	héo úa
wyted	làm việc
witen	làm héo
wites	trí thông minh
Witha	Với một
withe	mụ mụ
withy	mang theo
Witty	Dí dỏm
wived	quăn queo
wives	các bà vợ
wizen	nhăn nheo
wizes	gió bấc
wlity	sức mạnh
woady	tiếng kêu thảm thiết
woads	gâu gâu
wodge	tránh né
wodgy	lém lỉnh
woful	thảm hại
woken	thức dậy
woldy	kỳ quặc
Wolfy	Vui vẻ
wolfs	chó sói
wolly	quái đản
wolve	chó sói
woman	đàn bà
wombs	tử cung
women	đàn bà
wonky	rung rinh
wonks	nháy mắt
wonts	tai ương
Woody	thân gỗ
Woods	gỗ
wooed	tán thành
wooer	người nói chuyện
woofy	tán tỉnh
woofs	gâu gâu
woold	gâu gâu
wooly	len lén
wools	len
woomp	len lỏi
woons	len
woops	gâu gâu
woosh	gâu gâu
woozy	khờ khạo
wopsy	khám nghiệm
wordy	dài dòng
words	từ ngữ
worky	chăm chỉ
works	làm
world	thế giới
wormy	sâu bọ
Worms	Giun
